age,sex,screen_time,social_media,gaming,video,miny,online_study,internet_usage_for_homework_freq,sum,self_study,phone_distraction_during_study_freq,digital_addiction_level,sleep_hours_per_night,device_usage_before_sleep_freq,GPA
"19","Мужской","Более 8 часов","1–3 часа","1–3 часа","1–3 часа","12","До 1 часа","Всегда","5","До 1 часа","Часто","Да","7–8 часов","Да","Неудовлетворительно"
"19","Женский","Более 8 часов","Более 5 часов","Более 5 часов","Более 5 часов","12","3–5 часов","Всегда","4","3–5 часов","Часто","Да","Менее 6 часов","Да","Удовлетворительно"
"19","Мужской","4–6 часов","Более 5 часов","1–3 часа","1–3 часа","12","1–3 часа","Часто","4","3–5 часов","Часто","Не уверен(а)","Более 8 часов","Да","Удовлетворительно"
"19","Мужской","Более 8 часов","3–5 часов","До 1 часа","До 1 часа","12","1–3 часа","Всегда","4","1–3 часа","Иногда","Да","7–8 часов","Да","Хорошо"
"19","Мужской","Более 8 часов","1–3 часа","3–5 часов","Более 5 часов","12","1–3 часа","Часто","4","1–3 часа","Иногда","Да","6–7 часов","Да","Хорошо"
"67","Женский","Более 8 часов","Более 5 часов","Более 5 часов","Более 5 часов","8","До 1 часа","Всегда","7","До 1 часа","Всегда","Да","Менее 6 часов","Да","Неудовлетворительно"
"20","Женский","6–8 часов","Более 5 часов","До 1 часа","Более 5 часов","12","1–3 часа","Всегда","4","1–3 часа","Никогда","Да","6–7 часов","Да","Удовлетворительно"
"18","Женский","Более 8 часов","Более 5 часов","До 1 часа","3–5 часов","12","1–3 часа","Иногда","4","3–5 часов","Часто","Не уверен(а)","6–7 часов","Да","Удовлетворительно"
"18","Женский","2–4 часа","До 1 часа","Не играю","До 1 часа","12 ","1–3 часа","Часто","4","До 1 часа","Иногда","Нет","6–7 часов","Нет","Отлично"
"19","Мужской","Более 8 часов","Более 5 часов","3–5 часов","Более 5 часов","12","1–3 часа","Часто","4","До 1 часа","Иногда","Да","6–7 часов","Да","Хорошо"
"19","Женский","Более 8 часов","3–5 часов","1–3 часа","1–3 часа","12","1–3 часа","Всегда","4","1–3 часа","Иногда","Да","7–8 часов","Да","Отлично"
"18","Женский","Более 8 часов","Более 5 часов","Не играю","Более 5 часов","52","1–3 часа","Иногда","5","3–5 часов","Всегда","Да","Менее 6 часов","Да","Отлично"
"18","Женский","Более 8 часов","1–3 часа","Более 5 часов","3–5 часов","12","До 1 часа","Часто","4","3–5 часов","Часто","Да","Менее 6 часов","Да","Отлично"
"18","Мужской","6–8 часов","3–5 часов","Не играю","3–5 часов","12","1–3 часа","Всегда","4","1–3 часа","Всегда","Да","7–8 часов","Да","Хорошо"
"18","Мужской","Более 8 часов","1–3 часа","3–5 часов","3–5 часов","12","1–3 часа","Часто","4","1–3 часа","Часто","Не уверен(а)","6–7 часов","Иногда","Хорошо"
"19","Женский","6–8 часов","3–5 часов","Не играю","1–3 часа","12","1–3 часа","Часто","4","До 1 часа","Всегда","Да","6–7 часов","Да","Удовлетворительно"
"18","Женский","Более 8 часов","Более 5 часов","Не играю","1–3 часа","12","1–3 часа","Часто","4","3–5 часов","Всегда","Да","6–7 часов","Да","Удовлетворительно"
"17","Мужской","4–6 часов","1–3 часа","Не играю","3–5 часов","12","3–5 часов","Часто","4","1–3 часа","Иногда","Да","6–7 часов","Иногда","Удовлетворительно"
"18","Женский","2–4 часа","1–3 часа","1–3 часа","3–5 часов","12","1–3 часа","Часто","5","1–3 часа","Иногда","Нет","Менее 6 часов","Да","Хорошо"
"18","Женский","Более 8 часов","Более 5 часов","3–5 часов","1–3 часа","12","1–3 часа","Всегда","5","До 1 часа","Часто","Да","Менее 6 часов","Да","Удовлетворительно"
"18","Мужской","4–6 часов","3–5 часов","1–3 часа","1–3 часа","12","1–3 часа","Часто","4","1–3 часа","Часто","Нет","Менее 6 часов","Да","Неудовлетворительно"
"18","Мужской","6–8 часов","1–3 часа","Более 5 часов","Более 5 часов","12","1–3 часа","Часто","5","1–3 часа","Иногда","Нет","7–8 часов","Иногда","Удовлетворительно"
"19","Мужской","Более 8 часов","1–3 часа","1–3 часа","Более 5 часов","12","До 1 часа","Всегда","2","До 1 часа","Всегда","Да","6–7 часов","Да","Удовлетворительно"
"18","Мужской","Более 8 часов","1–3 часа","1–3 часа","До 1 часа","12","Более 5 часов","Иногда","4","1–3 часа","Никогда","Нет","Более 8 часов","Да","Отлично"
"19","Женский","2–4 часа","1–3 часа","Не играю","3–5 часов","12","1–3 часа","Всегда","4","До 1 часа","Всегда","Да","6–7 часов","Да","Хорошо"
"18","Мужской","Более 8 часов","1–3 часа","1–3 часа","Более 5 часов","NaN","1–3 часа","Часто","5","1–3 часа","Часто","Да","Более 8 часов","Да","Хорошо"
"20","Женский","Более 8 часов","1–3 часа","1–3 часа","Более 5 часов","12","1–3 часа","Всегда","4","До 1 часа","Всегда","Да","Менее 6 часов","Да","Отлично"
"20","Мужской","Более 8 часов","1–3 часа","1–3 часа","1–3 часа","12","Более 5 часов","Всегда","4","До 1 часа","Всегда","Да","7–8 часов","Да","Хорошо"
"18","Мужской","6–8 часов","1–3 часа","Не играю","1–3 часа","12","1–3 часа","Всегда","4","1–3 часа","Иногда","Да","6–7 часов","Да","Отлично"
"20","Мужской","6–8 часов","1–3 часа","1–3 часа","1–3 часа","12","1–3 часа","Всегда","4","1–3 часа","Иногда","Нет","Более 8 часов","Да","Хорошо"
"20","Женский","6–8 часов","3–5 часов","Не играю","3–5 часов","12","1–3 часа","Всегда","4","До 1 часа","Иногда","Да","6–7 часов","Да","Удовлетворительно"
"19","Женский","6–8 часов","3–5 часов","Не играю","3–5 часов","12","1–3 часа","Часто","4","1–3 часа","Иногда","Нет","Более 8 часов","Да","Хорошо"
"21","Женский","Более 8 часов","3–5 часов","Не играю","1–3 часа","12","До 1 часа","Часто","4","До 1 часа","Никогда","Да","Менее 6 часов","Да","Хорошо"
"18","Женский","2–4 часа","3–5 часов","Не играю","1–3 часа","12","1–3 часа","Часто","4","1–3 часа","Иногда","Да","6–7 часов","Да","Хорошо"
"23","Мужской","Более 8 часов","1–3 часа","1–3 часа","1–3 часа","12","3–5 часов","Часто","4","3–5 часов","Иногда","Нет","7–8 часов","Иногда","Удовлетворительно"
"19","Женский","4–6 часов","1–3 часа","Не играю","1–3 часа","12","1–3 часа","Часто","4","До 1 часа","Часто","Не уверен(а)","7–8 часов","Да","Неудовлетворительно"
